"0000000053";1;1;"EL PRECIO INCLUYE:";"- Alojamiento en media pensión en hoteles 2-3 estrellas.
- 6 Cenas gourmet.
- 5 comidas pic-nic.
- Traslado equipajes.
- Asistencia. Guía. Vehículo apoyo.
- Mapas y libro de ruta.
- Recogida y traslados desde Blois para quien venga en tren.
- Regalos bienvenida.
- Acceso internet en ordenador portátil."
"0000000053";2;1;"NO INCLUIDO:";"- Transporte a los puntos de salida.
- Bebidas.
- Entradas a monumentos."
"0000000053";3;1;"OPCIONES:";"- Bicicleta 85 €
- Seguro viaje 15 €"
"0000000054";0;1;"PRECIO:";"595 € en habitación doble. 
230 € suplemento individual"
"0000000054";1;1;"EL PRECIO INCLUYE:";"- Alojamiento en habitación doble. Hoteles 2 estrellas.
- Media pensión: 7 cenas de 3 platos y desayunos buffet. 
- Traslados equipaje (una maleta hasta 20 kgs.)
- Asistencia.
- Mapas y libro de ruta en Castellano."
"0000000054";2;1;"NO INCLUIDO:";"- Bebidas y comidas."
"0000000054";3;1;"OPCIONES:";"- Viaje en tren a Blois.
- Bicicleta: 70 euros.
- Seguro viaje 15 €.
- Seguro asistencia y cancelación 25 euros."
"0000000058";0;1;"PRICE: ";"Tourprice 1780 €
Single supplement: 230 €
"
"0000000058";1;1;"What's INCLUDED?:";"Accommodation, breakfast, 5 lunches, 5 dinners, transfers, touring bike, travel insurance and some special gifts."
"0000000058";2;1;"NOT INCLUDED: ";""
"0000000058";3;1;"OUR BIKES:  ";"- Hybrid bike: INCLUDED  
Specialized SIRRUS  
http://www.specialized.com/us/en/bikes/multi-use/sirrus/sirrus

- Road Aluminium: 40 €  
Specialized SECTEUR 
http://www.specialized.com/us/en/bikes/road/secteur/secteursportcompact

- Road Carbon: 90 € 
Specialized ROUBAIX 
http://www.specialized.com/us/en/bikes/road/roubaix/roubaixsportcompact"
"0000000058";4;1;"HIGHLIGHTS";"- The wine museum of Rioja and Ribera.

- The visits to some beautiful wineries.

- The ride by many small villages.

- The scenic routes and cuisine. "
"0000000059";0;1;"PRECIO 2012 VITA PUGNA:";"Desde 760 € en doble.
Desde 1160 € en individual.
Desde 610 € 3ª persona en triple"
"0000000059";1;1;"PRECIO 2012 AVE MARIA:";"Desde 810 € en doble (literas).
Desde 910 € en doble estándar.
Desde 970 € en doble superior.
Desde 1210 € en individual
760 € 3ª persona en triple"
"0000000059";2;1;"EL PRECIO INCLUYE:";"- Alojamiento en camarote doble, en pensión completa. 
- Mapas y libro de ruta.
- Tasas de embarque.
- Traslado en bus entre Ferrara- Zelo/Ferrara - Adria."
"0000000059";3;1;"NO INCLUIDO:";"- Transporte a los puntos de salida. 
- Vuelos y noches extra.
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767
- Bebidas a bordo."
"0000000059";4;1;"OPCIONES:";"- Bicicleta 70 €
- Seguro de viaje 15 €
- Noche extra Venecia
desde 90 €"
"0000000060";1;1;"PRECIO Standard Plus: ";"970 € en barco Cat. Standard
- 3ª persona 485 €
"
"0000000060";2;1;"EL PRECIO INCLUYE: ";"- Alojamiento en camarote doble.
- Pensión completa.
- Visita a varias ciudades.
- Mapas y libro de ruta.
- Entrada al parque Mljet. "
"0000000060";3;1;"NO INCLUIDO: ";"- Transporte a los puntos de salida.
- Vuelos y noches extra.
- Tasas de embarque 20 euros por persona.
- Bicicleta 55 €
- Bebidas a bordo.

"
"0000000060";4;1;"OPCIONES: ";"- Camarote cubierta 70 €/per
- Suplemento indiv.: 300 € 
- Seguro viaje 15 €.
- Estancias en Trogir.
- Alquiler casco.
- Rafting día 2.
- Agua ilimitada 40 € por adulto, 20 € por niños
- Rafting Catina River: 20 € (niños) y 35 € (adultos).
"
"0000000060";5;1;"INTERESANTE";"- Las islas más bonitas del Adriático: korcula, Mljet, hvar, Brac .
- Hvar: encantador pueblo pesquero.
- Stari Grad: pueblo elegido por numerosos artistas. 

- Pedalear a 25 grados sin calor. Siempre hay una ligera brisa.

- Campos de lavanda a principios del verano.

- Split: Su Palacio y mercado nos trasladan de verdad a épocas romanas.
"
"0000000061";1;1;"PRECIO Standard Plus: ";"890 € en barco Cat. Standard
- 3ª persona 445 €
 
"
"0000000061";3;1;"EL PRECIO INCLUYE: ";"- Alojamiento en camarote doble.
- Pensión completa.
- Visita a varias ciudades.
- Mapas y libro de ruta.
- Entrada al parque Mljet. 
"
"0000000061";4;1;"NO INCLUIDO: ";"- Transporte a los puntos de salida.
- Vuelos y noches extra.
- Tasas de embarque 20 euros por persona.
- Bebidas a bordo.
"
"0000000061";5;1;"OPCIONES: ";"- Bicicleta 75€ /Eléctrica 145
- Camarote cubierta 70 €/per
- Suplemento indiv.: 300 € 
- Alquiler de casco.
- Seguro viaje 15 €.
- Estancias en Trogir. 
"
"0000000061";6;1;"INTERESANTE";"- Las islas más bonitas del Adriático: korcula, Mljet, hvar, Brac .
- Hvar: encantador pueblo pesquero.
- Stari Grad: pueblo elegido por numerosos artistas. 

- Pedalear a 25 grados sin calor. Siempre hay una ligera brisa.

- Campos de lavanda a principios del verano.

- Split: Su Palacio y mercado nos trasladan de verdad a épocas romanas. 
"
"0000000062";1;1;"Precio por persona en habitación doble:";"Del 20 de abril al 22 de junio y del 31 de agosto al 21 de septiembre: 485 €
Del 29 de junio al 24 de agosto: 499 €"
"0000000062";2;1;"Descuentos infantiles (niños de hasta 11 años, compartiendo habitación con dos adultos)";"De 0 a 6.99 años: 50 %
De 7 a 11 años: 25 %"
"0000000062";3;1;"El precio incluye:";"- Alojamiento y desayuno en hoteles de 3 / 4 estrellas
- Transporte de equipaje (1 bulto por persona de hasta 20 kg). 
- Asistencia telefónica en inglés. 
- Mapas y libro de ruta en inglés
"
"0000000062";4;1;"No incluido:";"Traslados a y desde los puntos de salida y final de la ruta.
¡Visita nuestro buscador de vuelos!
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767"
"0000000062";5;1;"Opciones:";"- Bicicleta híbrida (7 o 21 marchas): 60 €
- Bicis infantiles, remolques / silla: 38.50 € / 11 €
- E-bike / Tándem (previa reserva): 165 € / 150 €
- Media pensión (5 cenas de 3 platos, excepto en Bruselas) : 95 € / persona.
- Noches extra en Bruselas y Brujas (Alojamiento y desayuno): 55 € / persona y noche.
- Seguro personal de viaje: 15 €
- Seguro bici híbrida : 12 €"
"0000000063";1;1;"Precio por persona en habitación doble:";"Del 20 de abril al 22 de junio y del 31 de agosto al 21 de septiembre: 475 €
Del 29 de junio al 24 de agosto: 489 €"
"0000000063";3;1;"Descuentos infantiles (niños de hasta 11 años, compartiendo habitación con dos adultos).";"De 0 a 2.99 años: 100 €
De 3 a 6.99 años: 50 %
De 7 a 11 años: 25 %"
"0000000063";4;1;"Descuento por 3ª persona en habitación/camarote triple:
";"En esta ruta no hay descuento por la ocupación de una 3ª persona en habitación triple."
"0000000063";5;1;"El precio incluye:
";"- Estancia en régimen de Alojamiento y Desayuno en hoteles de 3 o 4 *. hbitación con baño y aseo privados.
- 7 desayunos tipo buffet.
- Transporte de equipaje (1 bulto por persona de hasta 20 kg). 
- Asistencia telefónica en inglés.
- Mapas, libro de ruta e información turística en inglés.
- Entrada al Museo Nacional del Ciclismo (día 7 del itinerario)
- Bebida de bienvenida"
"0000000063";6;1;"No incluido en el precio:";"- Traslados a y desde los puntos de salida y final de la ruta.
¡Visita nuestro buscador de vuelos!
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767"
"0000000063";7;1;"Opciones:";"- Bicicleta híbrida (7 o 21 marchas): 60 € / bici
- E-bike: 185 € / bici
- Media pensión (7 cenas de 3 platos): 145 € / persona.
- Seguro personal de viaje: 15 € / persona
- Seguro de viaje y cancelación: 25 €
- Seguro bici híbrida : 18 € / bici
- Seguro Ebike: 32 €"
"0000000064";0;1;"PRECIO:";"595 € en habitación doble
155 € suplemento individual"
"0000000064";1;1;"EL PRECIO INCLUYE: ";"- Alojamiento en habitación doble hoteles 2 estrellas.
Categoría básica.
- Media pensión: desayuno buffet y cenas.
- Traslado equipaje (1 pieza)
- Mapas y libro de ruta en Español."
"0000000064";2;1;"NO INCLUIDO:";"- Comidas"
"0000000064";3;1;"OPCIONES:";"- Bicicleta 70 €.
- Seguro bici 15 €.
- Dto. niños.
- Seguro viaje 15 €.
- Seguro cancelación 25 €."
"0000000071";0;1;"PRECIO:";"839 € en camarote doble
779 € en camarote sin aseo"
"0000000071";1;1;"EL PRECIO INCLUYE: ";"- Alojamiento en camarote doble.
- Pensión completa.
- Bicicleta.
- Visita castillo y degustación vinos.
- Traslados desde Paris.
- Asistencia.
- Mapas y libro de ruta."
"0000000071";2;1;"NO INCLUIDO:";"- Transporte a los puntos de salida. 
- Bebidas a bordo.
- Vuelos y noches extra. 
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767"
"0000000071";3;1;"OPCIONES:";"- Noches extra en Paris.
- No dto. niños.
- No posible uso indiv.
- Seguro viaje 15 €
- Seguro bicicleta 18 €"
"0000000074";1;1;"Precio por persona en habitación doble:";"787 €"
"0000000074";4;1;"El precio incluye:";"- Alojamiento en media pensión en hoteles 2 estrellas o alojamientos rurales con encanto.
- Traslado equipaje.
- Asistencia.
- Mapas y libro de ruta.
"
"0000000074";5;1;"No incluido:";"- Traslados a y desde los puntos de salida y final de la ruta.
- Bebidas y comidas.
- Entradas a monumentos.
"
"0000000074";6;1;"Opciones:";"- Bicicleta 130: €
- Bicicleta eléctrica: 250 € (depósito de 500 € a pagar en destino)
- Seguro viaje: 15 €

"
"0000000075";0;1;"PRECIO:";"Hotel 2 estrellas en Chitenay
http://www.auberge-du-centre.com/
525 € en habitación doble"
"0000000075";1;1;"PRECIO:";"Hotel 3 estrellas en Cheverny
Hotel Chateau de Breuil 
http://www.chateau-du-breuil.fr/
870 € en habitación doble."
"0000000075";2;1;"EL PRECIO INCLUYE:";"- Alojamiento 4 noches en habitación doble. Hoteles 2-3 estrellas.
- Media pensión: 4 Cenas de 3 platos y desayunos buffet.
- Asistencia.
- Mapas y libro de ruta."
"0000000075";3;1;"NO INCLUIDO:";"- Comidas y bebidas."
"0000000075";4;1;"OPCIONES:";"- Bicicleta: 60 euros.
- Seguro asistencia viaje 15€
- Paseo en globo (mínimo 2 personas): 376 €."
"0000000076";0;1;"PRECIO:";"690 € por persona en doble
195 € suplemento Individual"
"0000000076";1;1;"EL PRECIO INCLUYE: ";"- Alojamiento en hoteles 2-3 estrellas con desayuno.
- Traslado equipaje.
- Mapas y libro de ruta
- Tasas al turismo en Florencia."
"0000000076";2;1;"NO INCLUIDO: ";"- Transporte a los puntos de salida.
- Vuelos a Italia. 
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767
- Tren Pontedera-Pisa
- Bebidas.
- Entradas a monumentos.
- Cenas y comidas."
"0000000076";3;1;"OPCIONES:";"- Bicicleta 70 €
- Media pensión 4 dias 115 €
- Seguro asistencia viaje 15 €
- Parking en Florencia 
(80 €/semana) 

 
 
 
 
"
"0000000077";0;1;"PRECIO:";"644 €
Suplemento domingo: 20 €
Suplemento individual: 120 €"
"0000000077";1;1;"EL PRECIO INCLUYE:";"- Alojamiento 6 noches en media pensión en hoteles 2 estrellas y casas rurales.
- 5 Cenas.
- Mapa y libro de ruta en francés o inglés."
